GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
An07g03960,G_An07g03960,1,0
An07g04180,G_An07g04180,1,1
An07g04200,G_An07g04200,1,0
An07g04260,G_An07g04260,1,1
An07g04270,G_An07g04270,1,0
An07g04280,G_An07g04280,1,0
An07g04300,G_An07g04300,1,0
An07g04420,G_An07g04420,0,0
An07g04430,G_An07g04430,0,0
An07g04470,G_An07g04470,0,0
An07g04820,G_An07g04820,1,0
An07g05000,G_An07g05000,0,1
An07g05050,G_An07g05050,0,1
An07g05570,G_An07g05570,1,1
An07g05610,G_An07g05610,1,0
An07g05650,G_An07g05650,0,0
An07g05830,G_An07g05830,0,0
An07g06000,G_An07g06000,1,0
An07g06150,G_An07g06150,1,1
An07g06280,G_An07g06280,0,0
An07g06300,G_An07g06300,1,1
An07g06560,G_An07g06560,1,1
An07g06560,G_An07g06560,1,1
An07g06760,G_An07g06760,1,1
An07g06770,G_An07g06770,1,1
An07g06780,G_An07g06780,1,1
An07g06800,G_An07g06800,0,0
An07g06840,G_An07g06840,1,1
An07g06880,G_An07g06880,0,0
An07g07280,G_An07g07280,1,0
An07g07290,G_An07g07290,0,0
An07g07390,G_An07g07390,1,1
An07g07430,G_An07g07430,1,1
An07g07520,G_An07g07520,1,0
An07g07840,G_An07g07840,1,1
An07g08140,G_An07g08140,1,0
An07g08150,G_An07g08150,1,1
An07g08170,G_An07g08170,1,1
An07g08280,G_An07g08280,1,1
An07g08310,G_An07g08310,0,0
An07g08360,G_An07g08360,1,0
An07g08390,G_An07g08390,0,1
An07g08640,G_An07g08640,0,0
An07g08710,G_An07g08710,1,1
An07g08720,G_An07g08720,1,1
An07g08810,G_An07g08810,1,0
An07g08850,G_An07g08850,1,0
An07g08950,G_An07g08950,0,0
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g08990,G_An07g08990,1,1
An07g09110,G_An07g09110,1,0
An07g09190,G_An07g09190,1,0
An07g09240,G_An07g09240,1,1
An07g09330,G_An07g09330,0,0
An07g09360,G_An07g09360,0,0
An07g09530,G_An07g09530,1,0
An07g09570,G_An07g09570,1,1
An07g09760,G_An07g09760,0,0
An07g09870,G_An07g09870,0,1
An07g09920,G_An07g09920,1,0
An07g10010,G_An07g10010,1,1
An07g10040,G_An07g10040,1,1
An07g10100,G_An07g10100,1,1
An08g00010,G_An08g00010,1,0
An08g00180,G_An08g00180,0,0
An08g00210,G_An08g00210,1,1
An08g00290,G_An08g00290,1,1
An08g00510,G_An08g00510,1,0
An08g00560,G_An08g00560,1,1
An08g00610,G_An08g00610,1,1
An08g00970,G_An08g00970,1,1
An08g01270,G_An08g01270,0,0
An08g01370,G_An08g01370,1,1
An08g01550,G_An08g01550,1,1
An08g01720,G_An08g01720,1,1
An08g01780,G_An08g01780,1,0
An08g01800,G_An08g01800,0,0
An08g01930,G_An08g01930,1,1
An08g01960,G_An08g01960,1,1
An08g02260,G_An08g02260,1,1
An08g02310,G_An08g02310,1,0
An08g02440,G_An08g02440,0,1
An08g02470,G_An08g02470,1,1
An08g02530,G_An08g02530,1,0
An08g02700,G_An08g02700,1,1
An08g02990,G_An08g02990,1,0
An08g03070,G_An08g03070,1,1
An08g03090,G_An08g03090,0,0
An08g03200,G_An08g03200,1,0
An08g03430,G_An08g03430,1,1
An08g03490,G_An08g03490,1,1
An08g03730,G_An08g03730,0,0
An08g03740,G_An08g03740,0,0
An08g03780,G_An08g03780,0,0
An08g03790,G_An08g03790,0,0
An08g03850,G_An08g03850,0,0
An08g03980,G_An08g03980,1,1
An08g04090,G_An08g04090,1,0
An08g04100,G_An08g04100,1,1
An08g04240,G_An08g04240,1,0
An08g04810,G_An08g04810,0,0
An08g04910,G_An08g04910,1,1
An08g04990,G_An08g04990,0,1
An08g05160,G_An08g05160,1,1
An08g05290,G_An08g05290,0,1
An08g05400,G_An08g05400,1,0
An08g05580,G_An08g05580,1,1
An08g05610,G_An08g05610,0,1
An08g05640,G_An08g05640,0,1
An08g05670,G_An08g05670,0,1
An08g05790,G_An08g05790,1,0
An08g06080,G_An08g06080,1,1
An08g06100,G_An08g06100,0,0
An08g06240,G_An08g06240,0,0
An08g06250,G_An08g06250,0,0
An08g06350,G_An08g06350,1,1
An08g06370,G_An08g06370,0,0
An08g06550,G_An08g06550,1,1
An08g06550,G_An08g06550,1,1
An08g06560,G_An08g06560,1,0
An08g06570,G_An08g06570,1,1
An08g06770,G_An08g06770,1,0
An08g06800,G_An08g06800,0,1
An08g06810,G_An08g06810,1,1
An08g06940,G_An08g06940,1,1
An08g06940,G_An08g06940,1,1
An08g06960,G_An08g06960,1,1
An08g07050,G_An08g07050,1,1
An08g07220,G_An08g07220,1,0
An08g07290,G_An08g07290,1,1
An08g07420,G_An08g07420,1,1
An08g07570,G_An08g07570,1,1
An08g07740,G_An08g07740,0,0
An08g07840,G_An08g07840,1,0
An08g07890,G_An08g07890,1,1
An08g08080,G_An08g08080,0,0
An08g08140,G_An08g08140,0,0
An08g08240,G_An08g08240,0,0
An08g08490,G_An08g08490,0,0
An08g08740,G_An08g08740,1,1
An08g08840,G_An08g08840,1,0
An08g08910,G_An08g08910,1,0
An08g08920,G_An08g08920,0,1
An08g08940,G_An08g08940,0,0
An08g08950,G_An08g08950,0,1
An08g09030,G_An08g09030,0,0
An08g09300,G_An08g09300,0,1
An08g09340,G_An08g09340,0,0
An08g09380,G_An08g09380,0,0
An08g09750,G_An08g09750,0,0
An08g09800,G_An08g09800,0,0
An08g09850,G_An08g09850,0,0
An08g10000,G_An08g10000,1,0
An08g10150,G_An08g10150,1,0
An08g10340,G_An08g10340,0,0
An08g10510,G_An08g10510,1,1
An08g10530,G_An08g10530,1,1
An08g10600,G_An08g10600,1,0
An08g10680,G_An08g10680,1,0
An08g10690,G_An08g10690,1,1
An08g10800,G_An08g10800,0,0
An08g10820,G_An08g10820,1,0
An08g10870,G_An08g10870,1,0
An08g10920,G_An08g10920,1,0
An08g10930,G_An08g10930,1,1
An08g11030,G_An08g11030,0,0
An08g11070,G_An08g11070,0,0
An08g12250,G_An08g12250,0,0
An09g00030,G_An09g00030,0,0
An09g00100,G_An09g00100,0,1
An09g00170,G_An09g00170,1,1
An09g00260,G_An09g00260,1,0
An09g00270,G_An09g00270,1,0
An09g00310,G_An09g00310,0,0
An09g00590,G_An09g00590,0,0
An09g00890,G_An09g00890,0,0
An09g01020,G_An09g01020,1,0
An09g01030,G_An09g01030,1,1
An09g01130,G_An09g01130,0,0
An09g01190,G_An09g01190,0,0
An09g01240,G_An09g01240,1,0
An09g01330,G_An09g01330,0,1
An09g01380,G_An09g01380,0,0
An09g01550,G_An09g01550,0,0
An09g01800,G_An09g01800,0,0
An09g01810,G_An09g01810,0,0
An09g01820,G_An09g01820,1,0
An09g01830,G_An09g01830,0,0
An09g01840,G_An09g01840,1,0
An09g01850,G_An09g01850,1,0
An09g01860,G_An09g01860,0,0
An09g01880,G_An09g01880,0,0
An09g01920,G_An09g01920,0,0
An09g01930,G_An09g01930,0,0
An09g01990,G_An09g01990,0,1
An09g02010,G_An09g02010,0,1
An09g02180,G_An09g02180,0,0
